abolish	do away with; "Slavery was abolished in the mid-19th century in America and in Russia"
distant	separated in space or coming from or going to a distance; "distant villages"; "the sound of distant traffic"; "a distant sound"; "a distant telephone call"
distant	far apart in relevance or relationship or kinship; "a distant cousin"; "a remote relative"; "a distant likeness"; "considerations entirely removed (or remote) from politics"
distant	remote in manner; "stood apart with aloof dignity"; "a distant smile"; "he was upstage with strangers"
distant	separate or apart in time; "distant events"; "the remote past or future"
distant	located far away spatially; "distant lands"; "remote stars"
distinct	(often followed by `from') not alike; different in nature or quality; "plants of several distinct types"; "the word `nationalism' is used in at least two distinct senses"; "gold is distinct from iron"; "a tree related to but quite distinct from the European beech"; "management had interests quite distinct from those of their employees"
distinct	easy to perceive; especially clearly outlined; "a distinct flavor"; "a distinct odor of turpentine"; "a distinct outline"; "the ship appeared as a distinct silhouette"; "distinct fingerprints"
distinct	constituting a separate entity or part; "a government with three discrete divisions"; "on two distinct occasions"
distinct	recognizable; marked; "noticed a distinct improvement"; "at a distinct (or decided) disadvantage"
distinct	clearly or sharply defined to the mind; "clear-cut evidence of tampering"; "Claudius was the first to invade Britain with distinct...intentions of conquest"; "trenchant distinctions between right and wrong"
distinction	a discrimination between things as different and distinct on the basis of their characteristics or attributes; "it is necessary to make a distinction between love and infatuation"
distinction	high status importance owing to marked superiority; "a scholar of great eminence"
distinction	a distinguishing difference between similar things or people; "he learned the distinction between gold and lead"
distinction	an honor awarded to someone in recognition of achievement or superiority; "she graduated with the highest distinction"
distinctive	of a feature that helps to distinguish a person or thing; "Jerusalem has a distinctive Middle East flavor"- Curtis Wilkie; "that is typical of you!"
distinctive	capable of being classified
distinguish	mark as different; "We distinguish several kinds of maple"
distinguish	detect with the senses; "The fleeing convicts were picked out of the darkness by the watchful prison guards"; "I can't make out the faces in this photograph"
distinguish	be a distinctive feature, attribute, or trait; sometimes in a very positive sense; "His modesty distinguishes him from his peers"
distinguish	make conspicuous or noteworthy
distinguish	identify as in botany or biology, for example
distort	make false by mutilation or addition; as of a message or story
distort	form into a spiral shape; "The cord is all twisted"
distort	twist and press out of shape
distort	affect as in thought or feeling; "My personal feelings color my judgment in this case"; "The sadness tinged his life"
distort	alter the shape of (something) by stress; "His body was deformed by leprosy"
distract	draw someone's attention away from something; "The thief distracted the bystanders"; "He deflected his competitors"
distract	disturb in mind or make uneasy or cause to be worried or alarmed; "She was rather perturbed by the news that her father was seriously ill"
